license_plate,price,make,mileage,year,fuel_type,transmission,body_type,engine_size,car_tier,engine_tier,year_band
EF12VFV,5999.0,FORD,53915.0,2012.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2010-2014
MJ18XXH,8991.0,CITROEN,19117.0,2018.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
MD68YHH,7785.0,CITROEN,13904.0,2018.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
HK15ZWS,7490.0,DACIA,69000.0,2015.0,Diesel,Manual,Suv,1.5,T3,1-2L,2015-2019
GY18YPN,14652.0,AUDI,29385.0,2018.0,Petrol,Manual,Hatchback,1.4,T1,1-2L,2015-2019
BA18RXK,10490.0,CITROEN,17000.0,2018.0,Petrol,Manual,Suv,1.2,T3,1-2L,2015-2019
YY65YBV,6691.0,DS,37146.0,2016.0,Petrol,Manual,Hatchback,1.2,T2,1-2L,2015-2019
VK67ESN,11989.0,ALFA ROMEO,17545.0,2017.0,Petrol,Manual,Hatchback,1.4,T2,1-2L,2015-2019
KX63VTF,8995.0,HONDA,41149.0,2013.0,Petrol,Automatic,Hatchback,1.8,T2,1-2L,2010-2014
YE10WXA,2995.0,PEUGEOT,85676.0,2010.0,Diesel,Semi-auto,Hatchback,1.6,T1,1-2L,2010-2014
BL60NKU,6789.0,SAAB,80204.0,2011.0,Diesel,Manual,Convertible,1.9,T2,1-2L,2010-2014
WN68SCZ,9299.0,FORD,15000.0,2018.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
LG19AWA,11000.0,CITROEN,30134.0,2019.0,Petrol,Manual,Suv,1.2,T3,1-2L,2015-2019
SG19XAL,9990.0,CITROEN,11876.0,2019.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
PJ16YJH,4900.0,DACIA,57758.0,2016.0,Petrol,Manual,Estate,0.9,T3,0-1L,2015-2019
CE19LFH,9000.0,CITROEN,23939.0,2019.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
RJ60FZT,3800.0,FORD,51000.0,2011.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2010-2014
MK15OEH,52500.0,BENTLEY,38000.0,2015.0,Petrol,Automatic,Saloon,4.0,T1,>3L,2015-2019
CF17VTO,8495.0,DS,41000.0,2017.0,Petrol,Manual,Hatchback,1.2,T2,1-2L,2015-2019
